LST,Distance,Local_Slope,Local_Intercept,Local_R2
40.746986,1486.1714900080256,0.000977590620181359,40.57726390175244,0.020067952674971745
40.641052,1468.554262042856,0.000864180566832463,40.566579432354125,0.0144984449413742
40.490696,1457.5999257051983,0.0007276017282591178,40.57910663764513,0.01706122894482287
41.057953,1453.4591381484938,0.0005734736499133773,40.6170167524775,0.02520687204306027
40.726482,1456.1900250719082,0.00038621002997284523,40.708260371653466,0.0403438460911647
39.943943,1465.7541785614965,0.00019971672747456364,40.81858847344568,0.050183022485343454
40.979355,1482.0193098681439,2.2412779439291167e-05,40.945302549873745,0.05834200350187091
42.192463,1484.6492376468884,0.0011938275347380756,40.69734730211339,0.07169779056768055
42.541016,1446.4194694821588,0.00120338195436469,40.588288189951356,0.0566316915198386
43.460243,1414.2401509462995,0.0011648572476672626,40.51726405853516,0.04057600925961358
42.746048,1388.532004456568,0.0010794366852432005,40.48544329871788,0.026315969951351215
44.314545,1369.6594650685029,0.0009593330711278412,40.48361186678576,0.021105678789216764
42.957916,1357.9075716348664,0.0008188820984116572,40.50204538915464,0.026150087055973104
41.662796,1353.4618191714394,0.0006543284768081823,40.553842986333436,0.03905066079626529
39.882435,1356.3940499745731,0.0004604994677262581,40.652330078892604,0.05137504053464348
38.09182,1366.6567753675342,0.0002752536956043259,40.76302166825327,0.05870337139566184
38.108906,1384.0869425399367,9.496516312119613e-05,40.896243480143376,0.06287309699838717
35.10519,1408.4184702570158,-8.535075509799741e-05,41.06120492674369,0.06873720746705292
38.02006,1439.3013965853972,-0.00027135153268310024,41.263674636050034,0.0757182451374312
41.563698,1476.3246367463482,-0.00048059714989366517,41.5208272992485,0.08417809010461319
42.212963,1492.5169824259497,0.001198747966229088,40.855340630235716,0.14147709485712856
42.52051,1440.6779187873412,0.0012489357525042395,40.736275766034595,0.10531641609661047
43.313305,1394.0942538196573,0.0012817252262214147,40.62114999178341,0.08326523187677326
42.814392,1353.3088011923035,0.0012849996052512144,40.522019837875604,0.06504931786930856
42.766552,1318.859596104192,0.0012428450408493426,40.45755052182055,0.04600178982711478
42.851982,1291.2538701152748,0.001155546797428816,40.42929539815822,0.032636979356460594
43.43632,1270.937638100012,0.0010361000373250234,40.42708374710303,0.029085876999849658
43.24496,1258.264043351315,0.0008944374476740355,40.44731167450067,0.033232726476530305
43.289383,1253.4649279666194,0.000724085682843332,40.50729595871466,0.04832623399562441
41.276653,1256.6305139116766,0.000533733120572713,40.603031411024595,0.05943173800056789
38.638573,1267.7011364456084,0.00034702806653888376,40.718365670105264,0.06699064285255285
38.331024,1286.4727335614423,0.00016651843188219187,40.855772656486906,0.06799961913866859
35.28972,1312.61495384161,-1.1604468059215189e-05,41.02281195522765,0.06761795483926336
40.11822,1345.698309391884,-0.00019740048812090164,41.23066645323769,0.07270321193582308
42.763134,1385.225563852955,-0.00039503200832024095,41.47981638159652,0.07995283939679454
42.530766,1430.6627085387036,-0.0006046240346310106,41.762902952243756,0.07440108298662818
40.381344,1481.4660672640673,-0.0008453304236782224,42.0984653833477,0.06548240815183926
42.995502,1469.345585512748,0.001220054688434,40.91033980140702,0.1791123932821932
43.9284,1409.5823397437136,0.0012623840466182573,40.81217638085533,0.1333962467494696
43.78146,1354.573104475696,0.0013057841683925913,40.70175521144003,0.10132742448067822
43.784878,1304.9192381984747,0.0013343607889830216,40.59223468134517,0.08475611398761262
43.299633,1261.253400816842,0.001334625321524238,40.49861994650816,0.06676049908617643
42.773384,1224.2165102315898,0.0012915769651376725,40.436680642516265,0.049893715694586005
42.763134,1194.4253793247926,0.00120616353221642,40.407873374756925,0.04065003497047004
43.186867,1172.4324755083924,0.0010910544307540626,40.40109040690026,0.0392570975299924
43.357727,1158.6819375817938,0.0009489488274846148,40.422595899547694,0.04405677937485997
43.460243,1153.4685757877683,0.0007740057729027734,40.487336161460796,0.05428045651921787
40.74015,1156.9078088514334,0.0005921774916500402,40.57683093413821,0.06774324564211665
39.26392,1168.92326567358,0.0004088735154727463,40.692418009101374,0.07533739603567635
37.82528,1189.2550289507083,0.0002325507609802891,40.830484179507586,0.07428529000157169
35.925316,1217.4865283591898,5.8263506485834326e-05,40.99958283186211,0.07193289067656727
40.90418,1253.0839435519372,-0.0001193346875568647,41.20476725282682,0.0733511238054042
43.593513,1295.4401925365898,-0.00030606090355881206,41.44759706856316,0.07587026071458358
43.641354,1343.9163721343675,-0.0005137641403914857,41.733256031572765,0.07006110156659506
40.92468,1397.8759380368354,-0.0007468525589788368,42.06263686630128,0.05853189150396976
40.750404,1456.7096694241873,-0.0010066438467303395,42.43421608603834,0.05118383154794437
40.93835,1459.5704698649315,0.0012405460116525172,40.96932128909843,0.19248998478773716
39.800423,1392.2255131096038,0.0012640779736552783,40.8960254401904,0.17025147256296613
44.034332,1328.9987969162585,0.0012981989742969849,40.80671384754201,0.12609767881425604
44.290623,1270.5053030414413,0.0013379120183795118,40.70096545356359,0.09773880823277092
42.99892,1217.4274713131733,0.0013656489214928015,40.593736272892514,0.08255274903174614
42.995502,1170.502272855354,0.0013624938417785143,40.505326528951684,0.06681393607190211
42.759716,1130.496127198635,0.001320009467673317,40.44411130230634,0.05441098545603573
42.544434,1098.165477723041,0.0012373106048620174,40.4129114869827,0.05025911271720873
43.398735,1074.2035837373833,0.0011238705746055926,40.40473977060476,0.050091279292087565
42.930576,1059.1785789779738,0.0009814839136453697,40.42796232817317,0.05796530938074529
42.68112,1053.472916129011,0.0008106861236695981,40.4893316873652,0.0670294370410296
